date | assignee | distname | state | pr
2015-08-01 | jmaslak | Test-Continuous | merged | /pull/13
2015-08-01 | jmaslak | Test-Continuous | merged | /pull/12
2015-08-01 | jmaslak | Test-Continuous | merged | /pull/11
2015-08-01 | jmaslak | Test-Continuous | merged | /pull/10
2015-08-01 | zoffixznet | Win32-Process | open | /pull/6
2015-08-01 | zoffixznet | Win32-Process | open | /pull/5
2015-08-01 | rjbs | Code-TidyAll | open | /pull/40
2015-08-01 | kappa | Number-Format | open | /pull/7
2015-08-01 | kappa | Number-Format | merged | /pull/6
2015-08-01 | kaoru | Reindeer | open | /pull/9
2015-08-01 | choroba | Test-Aggregate | merged | /pull/4
2015-08-01 | openstrike | LWP-Protocol-https | open | /pull/25
2015-08-01 | shuwnyuantee | Net-Google-Spreadsheets | open | /pull/5
2015-08-01 | shuwnyuantee | Net-Google-Spreadsheets | open | /pull/4
2015-08-01 | neilb | Time-Progress | merged | /pull/3
2015-08-01 | neilb | Time-Progress | merged | /pull/2
2015-08-01 | neilb | Time-Progress | merged | /pull/1
2015-08-01 | brainbuz | Time-ParseDate | merged | /pull/7
2015-08-01 | bentglasstube | Pod-Browser | open | /pull/1
2015-12-01 | yanick | Net-SSH-Perl | merged | /pull/9
2015-12-01 | bpa | Finance-Quote | open | /pull/36
2015-12-01 | mbeijen | PDF-API2 | open | /pull/2
2015-12-01 | mbeijen | PDF-API2 | open | /pull/1
2015-12-01 | andyjack | Enbugger | open | /pull/12
2015-12-01 | Jayceh | TermReadKey | merged | /pull/12
2015-12-01 | srvsh | RT-Client-REST | merged | /pull/7
2015-12-01 | srvsh | RT-Client-REST | merged | /pull/6
2015-12-01 | gjtorikian | AnyEvent-Gearman | merged | /pull/4
2015-12-01 | MasterDuke17 | Qudo | merged | /pull/13
2015-12-01 | paultcochrane | Barcode-DataMatrix | merged | /pull/28
2015-12-01 | paultcochrane | Barcode-DataMatrix | open | /pull/27
2015-12-01 | paultcochrane | Barcode-DataMatrix | merged | /pull/26
2015-12-01 | paultcochrane | Barcode-DataMatrix | open | /pull/25
2015-12-01 | paultcochrane | Barcode-DataMatrix | merged | /pull/24
2015-12-01 | paultcochrane | Barcode-DataMatrix | merged | /pull/23
2015-12-01 | paultcochrane | Barcode-DataMatrix | merged | /pull/22
2015-12-01 | paultcochrane | Barcode-DataMatrix | closed | /pull/21
2015-12-01 | paultcochrane | Barcode-DataMatrix | merged | /pull/20
2015-12-01 | paultcochrane | Barcode-DataMatrix | merged | /pull/19
2015-12-01 | paultcochrane | Barcode-DataMatrix | merged | /pull/18
2015-12-01 | paultcochrane | Barcode-DataMatrix | merged | /pull/17
2015-12-01 | paultcochrane | Barcode-DataMatrix | merged | /pull/16
2015-12-01 | paultcochrane | Barcode-DataMatrix | merged | /pull/15
2015-12-01 | paultcochrane | Barcode-DataMatrix | merged | /pull/14
2015-12-01 | paultcochrane | Barcode-DataMatrix | merged | /pull/13
2015-12-01 | paultcochrane | Barcode-DataMatrix | merged | /pull/12
2015-12-01 | paultcochrane | Barcode-DataMatrix | closed | /pull/11
2015-12-01 | paultcochrane | Barcode-DataMatrix | merged | /pull/10
2015-12-01 | paultcochrane | Barcode-DataMatrix | merged | /pull/9
2015-12-01 | paultcochrane | Barcode-DataMatrix | merged | /pull/8
2015-12-01 | paultcochrane | Barcode-DataMatrix | closed | /pull/7
2015-12-01 | paultcochrane | Barcode-DataMatrix | merged | /pull/6
2015-12-01 | paultcochrane | Barcode-DataMatrix | merged | /pull/5
2015-12-01 | paultcochrane | Barcode-DataMatrix | closed | /pull/4
2015-12-01 | bjakubski | Corona | closed | /pull/4
2015-12-01 | alabamapaul | Plack-Middleware-File-Less | merged | /pull/5
2015-12-01 | alabamapaul | Plack-Middleware-File-Less | merged | /pull/4
2015-12-01 | sjohnston | Perl-Critic | open | /pull/677
2015-12-01 | sjohnston | Perl-Critic | open | /pull/676
2015-12-01 | sjohnston | Perl-Critic | open | /pull/675
2015-12-01 | Tordek | Devel-Cover | open | /pull/146
2015-12-01 | dams | Dancer | open | /pull/1143
2015-12-01 | daleevans | libnet | merged | /pull/23
2015-12-01 | daleevans | libnet | merged | /pull/22
2015-12-01 | daleevans | libnet | merged | /pull/21
2015-12-01 | daleevans | libnet | merged | /pull/20
2015-12-01 | jluis | Method-Signatures | open | /pull/124
2015-12-01 | jluis | Method-Signatures | open | /pull/123
2015-12-01 | jluis | Method-Signatures | open | /pull/122
2015-12-01 | jluis | Method-Signatures | open | /pull/121
2015-12-01 | mjg17 | XML-Twig | open | /pull/23
2015-12-01 | mjg17 | XML-Twig | open | /pull/22
2015-12-01 | mjg17 | XML-Twig | open | /pull/21
2015-12-01 | Varadinsky | ack | merged | /pull/590
2015-12-01 | Varadinsky | ack | merged | /pull/587
2015-12-01 | shlomif | Scalar-List-Utils | open | /pull/35
2015-12-01 | shlomif | Scalar-List-Utils | open | /pull/34
2015-12-01 | tynovsky | GDGraph | closed | /pull/7
2015-12-01 | alx542 | Rex | open | /pull/886
2015-12-01 | mcmillhj | Module-Starter | open | /pull/55
2015-12-01 | basbloemsaat | Log-Log4perl | open | /pull/71
2015-12-01 | leejo | WWW-Curl | open | /pull/13
2015-12-01 | leejo | WWW-Curl | open | /pull/12
2015-12-01 | brad-mac | JavaScript-V8 | open | /pull/17
2015-12-01 | SysPete | DBIx-Class-Migration | open | /pull/68
2015-12-01 | SysPete | DBIx-Class-Migration | closed | /pull/67
2015-12-01 | neilb | WWW-Wikipedia | merged | /pull/2
2015-12-01 | rpack78 | WWW-Facebook-API | open | /pull/5
2015-12-01 | mnlagrasta | Mongoose | open | /pull/46
2015-12-01 | choroba | Net-Stripe | open | /pull/69
2015-12-01 | choroba | Net-Stripe | open | /pull/67
2015-12-01 | pauloscustodio | Syntax-Highlight-Engine-Kate | open | /pull/13
2015-12-01 | bk | Reflex | open | /pull/7
2015-12-01 | hatorikibble | DBIx-Class-Fixtures | merged | /pull/8
2015-12-01 | hatorikibble | DBIx-Class-Fixtures | merged | /pull/7
2015-12-01 | lharey | Net-Netmask | open | /pull/6
2015-12-01 | manwar | Net-Stripe | open | /pull/68
2015-12-01 | manwar | Net-Stripe | open | /pull/66
2015-12-01 | jamessan | Template-Semantic | open | /pull/15
2015-12-01 | jamessan | Template-Semantic | open | /pull/14
2015-12-01 | ambs | Box-Calc | open | /pull/13
2015-12-01 | Viviparous | Test-HTTP-Server | open | /pull/3
2015-12-01 | fluca1978 | Parallel-Scoreboard | closed | /pull/10
2015-12-01 | fluca1978 | Parallel-Scoreboard | closed | /pull/9
2015-12-01 | openstrike | MooseX-Log-Log4perl | merged | /pull/5
2015-12-01 | SkySymbol | Text-CSV | open | /pull/30
2015-12-01 | garu | DBM-Deep | merged | /pull/16
2015-12-01 | garu | DBM-Deep | merged | /pull/15
2015-12-01 | garu | DBM-Deep | merged | /pull/14
2015-12-01 | zhouzhen1 | Net-XMPP | open | /pull/8
2015-12-01 | jberger | MojoX-CPAN-Uploader | open | /pull/4
2015-12-01 | cakirke | MooseX-Types-DateTime-ButMaintained | open | /pull/2
2015-12-01 | cakirke | MooseX-Types-DateTime-ButMaintained | open | /pull/1
2015-12-01 | kappa | Test-TinyMocker | open | /pull/10
2015-12-01 | kappa | Test-TinyMocker | open | /pull/9
2015-12-01 | doyleyoung | Crypt-OpenSSL-VerifyX509 | open | /pull/1
2015-12-01 | thrig | Module-ExtractUse | open | /pull/13
2015-12-01 | dionys | String-MkPasswd | open | /pull/8
2015-12-01 | neybar | Test-Database | open | /pull/2
2015-12-01 | mishin | File-Monitor | open | /pull/3
2015-12-01 | davorg | Test-DBIx-Class-Schema | merged | /pull/15
2015-10-01 | Varadinsky | YAML | open | /pull/154
2015-10-01 | labrown | IPC-Run | open | /pull/14
2015-10-01 | thrig | Net-Google-FederatedLogin | open | /pull/2
2015-10-01 | openstrike | AI-MegaHAL | open | /pull/4
2015-10-01 | openstrike | AI-MegaHAL | open | /pull/3
2015-10-01 | bk | Statistics-Lite | merged | /pull/1
2015-10-01 | ItaloGoncales | Archive-Any-Create | closed | /pull/2
2015-10-01 | kappa | Task-Biodiverse-NoGUI | merged | /pull/570
2015-10-01 | garu | Pod-POM | merged | /pull/7
2015-10-01 | garu | Pod-POM | merged | /pull/6
2015-10-01 | garu | Pod-POM | merged | /pull/2
2015-10-01 | kaoru | HTML-Mason | merged | /pull/3
2015-10-01 | paultcochrane | Kavorka | open | /pull/17
2015-10-01 | paultcochrane | Kavorka | open | /pull/16
2015-10-01 | paultcochrane | Kavorka | open | /pull/15
2015-10-01 | mnlagrasta | XML-RSS-LibXML | open | /pull/7
2015-10-01 | mnlagrasta | XML-RSS-LibXML | open | /pull/6
2015-10-01 | manwar | Vim-Debug | merged | /pull/35
2015-10-01 | ambs | Win32-Console | open | /pull/4
2015-10-01 | jamessan | KiokuDB | open | /pull/15
2015-10-01 | jamessan | KiokuDB | open | /pull/14
2015-10-01 | jamessan | KiokuDB | open | /pull/13
2015-10-01 | jamessan | KiokuDB | open | /pull/12
2015-10-01 | leejo | Hijk | open | /pull/24
2015-10-01 | leejo | Hijk | open | /pull/23
2015-10-01 | shlomif | Net-Server-Mail | merged | /pull/6
2015-10-01 | yanick | LMDB_File | merged | /pull/9
2015-10-01 | yanick | LMDB_File | merged | /pull/8
2015-10-01 | yanick | LMDB_File | merged | /pull/7
2015-10-01 | yanick | LMDB_File | merged | /pull/6
2015-10-01 | bentglasstube | XML-Generator-PerlData | merged | /pull/5
2015-10-01 | lharey | Devel-Pragma | merged | /pull/4
2015-10-01 | choroba | Net-SFTP-Foreign | merged | /pull/6
2015-10-01 | andyjack | UAV-Pilot | merged | /pull/4
2015-10-01 | andyjack | UAV-Pilot | merged | /pull/3
2015-10-01 | kyzn | HTML-FormHandler-Model-DBIC | open | /pull/15
2015-10-01 | kyzn | HTML-FormHandler-Model-DBIC | open | /pull/14
2015-10-01 | mjg17 | Squatting | merged | /pull/7
2015-10-01 | mjg17 | Squatting | merged | /pull/6
2015-10-01 | mjg17 | Squatting | merged | /pull/5
2015-10-01 | Viviparous | Dist-Zilla-LocaleTextDomain | merged | /pull/13
2015-10-01 | cakirke | Alien-TinyCC | merged | /pull/9
2015-10-01 | jluis | Redis-Fast | merged | /pull/43
2015-10-01 | jluis | Redis-Fast | merged | /pull/42
2015-10-01 | pauloscustodio | Git-Repository-Plugin-Log | closed | /pull/3
2015-10-01 | neilb | DateTime-Event-ICal | merged | /pull/3
2015-10-01 | quicoju | MojoX-Routes-AsGraph | merged | /pull/2
2015-10-01 | bieron | MaxMind-DB-Writer | closed | /pull/49
2015-10-01 | ramananbalakrishnan | HTTP-BrowserDetect | merged | /pull/114
2015-10-01 | zhouzhen1 | Declare-CLI | merged | /pull/3
2015-10-01 | monsieurp | GraphViz | merged | /pull/2
2015-10-01 | mishin | Feed-Find | open | /pull/1
2015-10-01 | SkySymbol | Mail-DeliveryStatus-BounceParser | merged | /pull/3
2015-10-01 | joenio | Mojolicious-Plugin-ValidateTiny | merged | /pull/11
2015-10-01 | joenio | Mojolicious-Plugin-ValidateTiny | merged | /pull/10
2015-10-01 | joenio | Mojolicious-Plugin-ValidateTiny | closed | /pull/9
2015-11-01 | yanick | Module-Info | merged | /pull/2
2015-11-01 | yanick | Module-Info | merged | /pull/1
2015-11-01 | kappa | Pegex | open | /pull/48
2015-11-01 | manwar | minismokebox | open | /pull/1
2015-11-01 | Varadinsky | Win32-Clipboard | open | /pull/4
2015-11-01 | Varadinsky | Win32-Clipboard | open | /pull/3
2015-11-01 | choroba | Catmandu-PICA | merged | /pull/36
2015-11-01 | leejo | MouseX-Types | open | /pull/4
2015-11-01 | leejo | MouseX-Types | open | /pull/3
2015-11-01 | leejo | MouseX-Types | open | /pull/2
2015-11-01 | paultcochrane | Plack-App-FakeApache1 | merged | /pull/16
2015-11-01 | paultcochrane | Plack-App-FakeApache1 | merged | /pull/15
2015-11-01 | paultcochrane | Plack-App-FakeApache1 | merged | /pull/14
2015-11-01 | paultcochrane | Plack-App-FakeApache1 | merged | /pull/13
2015-11-01 | paultcochrane | Plack-App-FakeApache1 | merged | /pull/12
2015-11-01 | paultcochrane | Plack-App-FakeApache1 | merged | /pull/11
2015-11-01 | paultcochrane | Plack-App-FakeApache1 | merged | /pull/10
2015-11-01 | paultcochrane | Plack-App-FakeApache1 | merged | /pull/9
2015-11-01 | paultcochrane | Plack-App-FakeApache1 | merged | /pull/8
2015-11-01 | paultcochrane | Plack-App-FakeApache1 | merged | /pull/7
2015-11-01 | paultcochrane | Plack-App-FakeApache1 | merged | /pull/6
2015-11-01 | kaoru | POE-Loop-Glib | open | /pull/1
2015-11-01 | pauloscustodio | mixin | merged | /pull/2
2015-11-01 | pauloscustodio | mixin | closed | /pull/1
2015-11-01 | kyzn | HTML-StickyQuery-DoCoMoGUID | open | /pull/1
2015-11-01 | joenio | XML-API | merged | /pull/3
2015-11-01 | joenio | XML-API | merged | /pull/2
2015-11-01 | bk | Plack-Middleware-SizeLimit | merged | /pull/6
2015-11-01 | lharey | Mojolicious-Plugin-SslAuth | open | /pull/3
2015-11-01 | garu | Ubic-Service-Plack | merged | /pull/8
2015-11-01 | garu | Ubic-Service-Plack | open | /pull/7
2015-11-01 | garu | Ubic-Service-Plack | open | /pull/6
2015-11-01 | andyjack | Log-Message-Structured | merged | /pull/3
2015-11-01 | andyjack | Log-Message-Structured | merged | /pull/2
2015-11-01 | jluis | File-Scan-ClamAV | merged | /pull/3
2015-11-01 | jluis | File-Scan-ClamAV | closed | /pull/2
2015-11-01 | jluis | File-Scan-ClamAV | merged | /pull/1
2015-11-01 | openstrike | File-Comments | open | /pull/2
2015-11-01 | openstrike | File-Comments | merged | /pull/1
2015-11-01 | Viviparous | Tk-FontDialog | merged | /pull/1
2015-11-01 | mishin | Kelp | merged | /pull/48
2015-11-01 | mishin | Kelp | merged | /pull/46
2015-11-01 | cakirke | Message-Passing-AMQP | open | /pull/4
2015-11-01 | cakirke | Message-Passing-AMQP | merged | /pull/3
2015-11-01 | neilb | MooseX-Getopt-Explicit | merged | /pull/2
2015-11-01 | doyleyoung | App-autotest | merged | /pull/18
2015-11-01 | netangel | MouseX-AttributeHelpers | open | /pull/2
2015-11-01 | elmerq | Physics-Unit | merged | /pull/31
2015-11-01 | zhouzhen1 | XML-Feed | merged | /pull/18
2015-11-01 | vytas-dauksa | HTML-Template | open | /pull/10
2015-11-01 | thrig | XML-SAX-Writer | open | /pull/9
2015-11-01 | jamessan | HTTP-Cookies | open | /pull/11
2015-11-01 | jamessan | HTTP-Cookies | open | /pull/10
2015-11-01 | jamessan | HTTP-Cookies | open | /pull/9
2015-11-01 | jamessan | HTTP-Cookies | open | /pull/8
2015-11-01 | jamessan | HTTP-Cookies | open | /pull/6
2015-11-01 | shlomif | Rubyish | merged | /pull/1
